epoch,train,test
1,0.10933333333333334,0.1083
2,0.2809833333333333,0.2866
3,0.42535,0.4299
4,0.6083,0.6101
5,0.6784833333333333,0.6836
6,0.7015333333333333,0.709
7,0.7469666666666667,0.7599
8,0.79725,0.8062
9,0.8234333333333334,0.8329
10,0.8378666666666666,0.8479
11,0.8587666666666667,0.8653
12,0.86355,0.8707
13,0.8767,0.8851
14,0.8792833333333333,0.887
15,0.8858333333333334,0.8919
16,0.8871,0.895
17,0.8908333333333334,0.8988
18,0.8942333333333333,0.9037
19,0.89895,0.9045
20,0.8984833333333333,0.9067
21,0.8995666666666666,0.9076
22,0.9058666666666667,0.9122
23,0.90595,0.9118
24,0.9047666666666667,0.9141
25,0.91305,0.9196
26,0.9140666666666667,0.9185
27,0.91825,0.926
28,0.92145,0.9284
29,0.9202333333333333,0.9264
30,0.9225833333333333,0.9296
31,0.9214333333333333,0.9296
32,0.9263833333333333,0.9303
33,0.9284333333333333,0.9362
34,0.9315,0.9392
35,0.9301666666666667,0.9347
36,0.93335,0.9394
37,0.9336666666666666,0.9392
38,0.9370333333333334,0.9437
39,0.9373666666666667,0.9441
40,0.9384333333333333,0.9456
41,0.9378166666666666,0.9439
42,0.9387166666666666,0.944
43,0.9420333333333333,0.9474
44,0.9427666666666666,0.9486
45,0.94645,0.9513
46,0.9442833333333334,0.9485
47,0.94405,0.9492
48,0.9471666666666667,0.9516
49,0.9504666666666667,0.9545
50,0.9502,0.9527
51,0.9454666666666667,0.9502
52,0.9513166666666667,0.9567
53,0.9525666666666667,0.9571
54,0.9541333333333334,0.9581
55,0.952,0.9564
56,0.9566833333333333,0.9607
57,0.9568833333333333,0.961
58,0.95655,0.9618
59,0.9581333333333333,0.9626
60,0.9564833333333334,0.9611
61,0.9590666666666666,0.9636
62,0.95975,0.9644
63,0.9587333333333333,0.9632
64,0.9603333333333334,0.9662
65,0.9613333333333334,0.9658
66,0.96165,0.9653
67,0.9623666666666667,0.9677
68,0.9634333333333334,0.9676
69,0.9640333333333333,0.9674
70,0.9613333333333334,0.9661
71,0.9648666666666667,0.9692
72,0.9649333333333333,0.9691
73,0.96315,0.9677
74,0.9660166666666666,0.9707
75,0.9661666666666666,0.9706
76,0.9655833333333333,0.9707
77,0.9667166666666667,0.9706
78,0.96535,0.9694
79,0.9661166666666666,0.9704
80,0.9678833333333333,0.9722
81,0.9679666666666666,0.9716
82,0.96725,0.9709
83,0.96735,0.9716
84,0.9689333333333333,0.9732
85,0.9695666666666667,0.9719
86,0.9686,0.9721
87,0.9709,0.9741
88,0.9697,0.9722
89,0.9712666666666666,0.9744
90,0.9701666666666666,0.9722
91,0.9713,0.9749
92,0.97155,0.9742
93,0.9721666666666666,0.9744
94,0.9714833333333334,0.9744
95,0.9722333333333333,0.9747
96,0.97275,0.9744
97,0.9706666666666667,0.9746
98,0.9724166666666667,0.9747
99,0.9722,0.9745
100,0.9734833333333334,0.9755
101,0.9732333333333333,0.9754
102,0.9744666666666667,0.9756
103,0.9737,0.9765
104,0.9733833333333334,0.9751
105,0.9746,0.9754
106,0.97505,0.9769
107,0.9751166666666666,0.9768
108,0.9748833333333333,0.9755
109,0.9744333333333334,0.9762
110,0.97535,0.9753
111,0.9753333333333334,0.9751
112,0.97625,0.9759
113,0.9720666666666666,0.9753
114,0.9752,0.9763
115,0.97555,0.977
116,0.9755833333333334,0.9765
117,0.97585,0.9774
118,0.9754,0.977
119,0.9737166666666667,0.9748
120,0.9773333333333334,0.9776
121,0.9763333333333334,0.9756
122,0.9765833333333334,0.9785
123,0.9750166666666666,0.9756
124,0.9765333333333334,0.9772
125,0.9751833333333333,0.9778
126,0.9775666666666667,0.9774
127,0.9768,0.9777
128,0.9780833333333333,0.9786
129,0.9746333333333334,0.9758
130,0.9784,0.9783
131,0.9769833333333333,0.9777
132,0.97825,0.979
133,0.9775333333333334,0.9775
134,0.9774666666666667,0.9788
135,0.9784666666666667,0.9786
136,0.9784166666666667,0.9785
137,0.9780333333333333,0.9776
138,0.9792333333333333,0.9799
139,0.97695,0.9774
140,0.9797166666666667,0.9802
141,0.9786833333333333,0.9788
142,0.9777,0.9776
143,0.9783,0.9792
144,0.9775833333333334,0.9779
145,0.9784833333333334,0.9798
146,0.9801833333333333,0.9799
147,0.9798833333333333,0.9789
148,0.9781333333333333,0.978
149,0.9792166666666666,0.9796
150,0.9781,0.9788
151,0.9812,0.9809
152,0.98115,0.981
153,0.9811166666666666,0.9804
154,0.9794,0.9795
155,0.9794666666666667,0.9787
156,0.9807833333333333,0.9807
157,0.9813333333333333,0.9809
158,0.9802333333333333,0.9815
159,0.9799666666666667,0.9796
160,0.9804166666666667,0.979
161,0.98015,0.9816
162,0.9808,0.9809
163,0.9787666666666667,0.9778
164,0.9818166666666667,0.9803
165,0.9817833333333333,0.9802
166,0.9819666666666667,0.9803
167,0.9808666666666667,0.9802
168,0.9814166666666667,0.979
169,0.9821833333333333,0.9808
170,0.98125,0.9803
171,0.9819,0.9811
172,0.98125,0.9818
173,0.9817833333333333,0.9813
174,0.9822,0.9823
175,0.9809666666666667,0.9811
176,0.9828166666666667,0.9827
177,0.9828666666666667,0.9826
178,0.9823833333333334,0.9822
179,0.98185,0.9824
180,0.9808166666666667,0.9806
181,0.9818666666666667,0.9819
182,0.9828333333333333,0.9822
183,0.9828,0.9819
184,0.9826333333333334,0.9803
185,0.98325,0.9829
186,0.9834666666666667,0.9822
187,0.9836833333333334,0.9826
188,0.9832166666666666,0.9828
189,0.98235,0.9818
190,0.9826833333333334,0.9831
191,0.9825166666666667,0.982
192,0.9835666666666667,0.9821
193,0.9825,0.9811
194,0.9838666666666667,0.9834
195,0.9839333333333333,0.983
196,0.98135,0.9792
197,0.9822333333333333,0.9819
198,0.9833,0.9815
199,0.9813166666666666,0.9805
200,0.9826333333333334,0.9832
201,0.9836666666666667,0.9827
202,0.9830166666666666,0.983
203,0.9829,0.9833
204,0.98295,0.9819
205,0.9834833333333334,0.9826
206,0.9840833333333333,0.9832
207,0.9842166666666666,0.9843
208,0.98375,0.9809
209,0.98465,0.983
210,0.9845166666666667,0.9834
211,0.9842166666666666,0.9833
212,0.9832333333333333,0.9812
213,0.9840166666666667,0.9817
214,0.9835666666666667,0.9826
215,0.9851833333333333,0.9832
216,0.9843833333333334,0.9825
217,0.9841833333333333,0.9841
218,0.9854833333333334,0.983
219,0.9852166666666666,0.9843
220,0.9852833333333333,0.983
221,0.9849833333333333,0.984
222,0.9846666666666667,0.9838
223,0.9848,0.982
224,0.9838166666666667,0.9835
225,0.9847666666666667,0.9827
226,0.9858166666666667,0.9846
227,0.9856833333333334,0.9836
228,0.9857333333333334,0.9837
229,0.9851333333333333,0.9841
230,0.9854,0.984
231,0.9855333333333334,0.9834
232,0.9857333333333334,0.9844
233,0.9860833333333333,0.9837
234,0.98395,0.9804
235,0.98605,0.9838
236,0.98565,0.9834
237,0.9851333333333333,0.9822
238,0.9853666666666666,0.9837
239,0.9853166666666666,0.9832
240,0.9860666666666666,0.9837
241,0.9864,0.9836
242,0.9856833333333334,0.9838
243,0.9850666666666666,0.9818
244,0.9837833333333333,0.9809
245,0.9850333333333333,0.9825
246,0.98635,0.9847
247,0.9827166666666667,0.9822
248,0.9869833333333333,0.9846
249,0.9867,0.9836
250,0.9865833333333334,0.984
251,0.9844,0.9809
252,0.98605,0.9838
253,0.9868333333333333,0.9835
254,0.9867,0.9842
255,0.9859333333333333,0.9839
256,0.98555,0.9843
257,0.9855666666666667,0.984
258,0.985,0.9834
259,0.9869,0.9846
260,0.9861,0.9835
261,0.9866166666666667,0.9841
262,0.98695,0.9845
263,0.98695,0.9848
264,0.9868166666666667,0.9844
265,0.9861,0.9853
266,0.98485,0.9833
267,0.9867166666666667,0.9842
268,0.98645,0.9841
269,0.9872,0.9845
270,0.98775,0.9845
271,0.98745,0.9854
272,0.9874166666666667,0.9844
273,0.9858833333333333,0.9842
274,0.9871,0.9834
275,0.9872666666666666,0.9843
276,0.98605,0.9851
277,0.9873,0.9851
278,0.9872666666666666,0.9846
279,0.9871666666666666,0.9855
280,0.9866,0.9839
281,0.9871,0.9843
282,0.9875166666666667,0.9854
283,0.98735,0.9847
284,0.9871,0.9846
285,0.987,0.9843
286,0.9864333333333334,0.9843
287,0.9876666666666667,0.9848
288,0.9868666666666667,0.9832
289,0.9880666666666666,0.9843
290,0.9871,0.9855
291,0.9877666666666667,0.9849
292,0.9870333333333333,0.9861
293,0.98795,0.9849
294,0.98825,0.9862
295,0.9882,0.9856
296,0.98765,0.9848
297,0.9879,0.9856
298,0.98845,0.986
299,0.9877,0.9859
300,0.9871333333333333,0.9857
