epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.2814,0.2819,2.2851130962371826,2.285128593444824,0.49013164183881064,0.3456048822943691,0.40307486631016043,0.40479609419873636,0.299266756848446,0.3029607929409774
2,0.5568166666666666,0.5507,2.257852792739868,2.257611036300659,0.635789541851781,0.6350547031296035,0.5568166666666666,0.5507,0.5170536293528789,0.5128888652060346
3,0.6107833333333333,0.6112,2.2088913917541504,2.207955837249756,0.7223375431799917,0.7251836984446559,0.6107833333333333,0.6112,0.5872482788124772,0.588433385318002
4,0.5914166666666667,0.5931,2.112362861633301,2.1101937294006348,0.7336669809717211,0.7391521146579612,0.5914166666666667,0.5931,0.5706336184013365,0.572430019817535
5,0.6406166666666666,0.6479,1.8859529495239258,1.880639672279358,0.7324635742059328,0.7396562785736216,0.6406166666666666,0.6479,0.6300775683562608,0.6371145616222484
6,0.70145,0.7108,1.4212875366210938,1.409135103225708,0.7340756533803819,0.7467837098694686,0.70145,0.7108,0.6824134354549745,0.6917245865340166
7,0.76945,0.775,0.9594348073005676,0.9430814385414124,0.7731528552241725,0.781261212216876,0.76945,0.775,0.7629261180066554,0.7682007631326849
8,0.8115666666666667,0.8173,0.714426577091217,0.6979666948318481,0.8145231173388398,0.8212050556306516,0.8115666666666667,0.8173,0.8096909708318808,0.8150222340126148
9,0.8415666666666667,0.85,0.5874561667442322,0.5681800842285156,0.8424606609514221,0.8511277045863651,0.8415666666666667,0.85,0.8413015928788586,0.8497342182007366
10,0.8569333333333333,0.8655,0.5137421488761902,0.49435243010520935,0.856613769078342,0.8653276949051689,0.8569333333333333,0.8655,0.85630491705646,0.8648113559071886
11,0.8670333333333333,0.8752,0.46963945031166077,0.44961610436439514,0.8682088077260229,0.8760244440203591,0.8670333333333333,0.8752,0.8671611296243857,0.8751181464694815
12,0.8753833333333333,0.8819,0.43199455738067627,0.41181060671806335,0.8775019654380991,0.8830393872395326,0.8753833333333333,0.8819,0.8756498042495562,0.8819246075842909
13,0.88195,0.8898,0.4054603576660156,0.38539549708366394,0.8840662113356831,0.8912604001858088,0.88195,0.8898,0.882285468202275,0.8898787902222146
14,0.8882333333333333,0.8938,0.38394445180892944,0.36583784222602844,0.8882405876828069,0.8942451772182192,0.8882333333333333,0.8938,0.8880184869021482,0.8935219502941861
15,0.8919333333333334,0.8975,0.3675715923309326,0.3496158719062805,0.892307535445879,0.8976635748800789,0.8919333333333334,0.8975,0.8918049344656617,0.8972249313674076
16,0.8959666666666667,0.9026,0.35366159677505493,0.33431968092918396,0.8960223677640823,0.9030207520011547,0.8959666666666667,0.9026,0.8957005976852487,0.9023381579696108
17,0.8986666666666666,0.9063,0.3409051299095154,0.32128649950027466,0.8996070716941337,0.9067825007395293,0.8986666666666666,0.9063,0.8986795670883083,0.9061859541466257
18,0.9033,0.9101,0.32755184173583984,0.30935409665107727,0.9031565367666993,0.910173278338972,0.9033,0.9101,0.9031315461626583,0.9098657963724849
19,0.9042166666666667,0.9112,0.31848812103271484,0.2993771731853485,0.9044080976776625,0.9115413332839802,0.9042166666666667,0.9112,0.9040849927451273,0.9109853970743954
20,0.90785,0.9146,0.3092491626739502,0.2922617197036743,0.9076737062380535,0.91467446512813,0.90785,0.9146,0.9076103052926626,0.9143443657071466
21,0.9101166666666667,0.9172,0.29964643716812134,0.28255629539489746,0.9103732115178986,0.9177110534102929,0.9101166666666667,0.9172,0.9100926642591376,0.9170780231927698
22,0.9126166666666666,0.9202,0.2908906638622284,0.2728610038757324,0.912753620882763,0.9202422334776577,0.9126166666666666,0.9202,0.9125741643244752,0.9200678646879753
23,0.9129166666666667,0.9198,0.28514233231544495,0.2685282528400421,0.913369947893441,0.9204453139728684,0.9129166666666667,0.9198,0.9128288004222797,0.9196188237089291
24,0.9171833333333334,0.9236,0.27589738368988037,0.2584189772605896,0.9171716566176595,0.923564178425711,0.9171833333333334,0.9236,0.9170900470933349,0.9234774067303843
25,0.92015,0.9262,0.2673499882221222,0.24947983026504517,0.9201068539827393,0.9261402653619191,0.92015,0.9262,0.9200793905651904,0.926085791229986
26,0.9197833333333333,0.9228,0.2673833966255188,0.24812451004981995,0.9206262717778378,0.9237430441250213,0.9197833333333333,0.9228,0.9198017768351278,0.9228308646585227
27,0.92315,0.9292,0.25434330105781555,0.2360597401857376,0.9234370386491049,0.9293957964334569,0.92315,0.9292,0.923156768137882,0.9291777368097952
28,0.92515,0.9311,0.24798014760017395,0.23202843964099884,0.925136515595102,0.9312797889200221,0.92515,0.9311,0.9250363785690701,0.9309549959457725
29,0.926,0.9308,0.24510613083839417,0.2309308797121048,0.9263076832813042,0.9313542813242506,0.926,0.9308,0.9258379989621678,0.9306278513444483
30,0.9272,0.9332,0.24072685837745667,0.22406408190727234,0.9274126645002327,0.933283012664311,0.9272,0.9332,0.927002526006429,0.9330305756627889
31,0.93095,0.9362,0.22972796857357025,0.21351325511932373,0.9310688454136903,0.9364056472979504,0.93095,0.9362,0.9309369990619455,0.9361427446279973
32,0.9327,0.9382,0.22502724826335907,0.21046599745750427,0.9328269561941502,0.9385311983730442,0.9327,0.9382,0.9326735101136888,0.9381554185936484
33,0.9328333333333333,0.9393,0.22372470796108246,0.20669357478618622,0.9331097085823977,0.9395399733942335,0.9328333333333333,0.9393,0.9326789920049589,0.9392068349737991
34,0.9349333333333333,0.9398,0.21557004749774933,0.2004595547914505,0.9354369588380392,0.9403394067083133,0.9349333333333333,0.9398,0.9349736226547922,0.9398233309216426
