epoch,accuracy_train,accuracy_test,loss_train,loss_test,precision_train,precision_test,recall_train,recall_test,f1_score_train,f1_score_test
1,0.2849833333333333,0.2847,2.285212278366089,2.285243034362793,0.4877044917424903,0.3434051780186889,0.4082076012223071,0.4088167719701321,0.3046404923746847,0.30624260148017357
2,0.5562666666666667,0.5526,2.257950782775879,2.2577028274536133,0.6313833815498028,0.6338958776394434,0.5562666666666667,0.5526,0.5203637926968226,0.5184233662781247
3,0.6085333333333334,0.6087,2.209050416946411,2.2081243991851807,0.7222277979462075,0.7247321975559466,0.6085333333333334,0.6087,0.5829783071871878,0.5843277650067262
4,0.6001833333333333,0.6012,2.1125619411468506,2.1103975772857666,0.7339088586865311,0.7385747065892289,0.6001833333333333,0.6012,0.5785568865551121,0.5801086670461908
5,0.6476166666666666,0.656,1.8869959115982056,1.881635308265686,0.7325777875441439,0.7409890223677318,0.6476166666666666,0.656,0.6360619256425003,0.6441546318071978
6,0.6975833333333333,0.7063,1.421181082725525,1.4089839458465576,0.7321118598689352,0.7447640566206686,0.6975833333333333,0.7063,0.6758374651191551,0.6846353143326959
7,0.7696,0.7741,0.9593415260314941,0.9430146217346191,0.7739885580056857,0.781006537610471,0.7696,0.7741,0.7630630012367878,0.7671962022244172
8,0.8130833333333334,0.8189,0.7138948440551758,0.6974437832832336,0.815927187259087,0.8225191837093767,0.8130833333333334,0.8189,0.8112813647115833,0.8167320058518791
9,0.8431,0.8527,0.5861147046089172,0.5669270157814026,0.8439943126596389,0.8538587700365108,0.8431,0.8527,0.8428415917150547,0.8524575183806444
10,0.8579333333333333,0.8671,0.5124897360801697,0.49319565296173096,0.8576165171934117,0.8668513463611159,0.8579333333333333,0.8671,0.8573158571377294,0.8664035219528585
11,0.8683,0.8769,0.4677734971046448,0.44790634512901306,0.8695666640496564,0.8779495591909899,0.8683,0.8769,0.8684556813403903,0.8768874647828657
12,0.8764,0.8824,0.4297403395175934,0.4102835953235626,0.8784541988317275,0.8836160636196104,0.8764,0.8824,0.8766534382274321,0.8824385246332862
13,0.8822166666666666,0.8907,0.40312859416007996,0.38295936584472656,0.8843693618463337,0.8921992322753449,0.8822166666666666,0.8907,0.8825202897432043,0.8907459828373728
14,0.8892833333333333,0.8951,0.38134488463401794,0.36304014921188354,0.8892508420017279,0.8954114988757763,0.8892833333333333,0.8951,0.8890723759790553,0.8948103643651025
15,0.89315,0.8992,0.36481934785842896,0.3464016616344452,0.893690425258313,0.899471730356926,0.89315,0.8992,0.8930646461299324,0.8989399752723104
